Composition,Temperature,Stage,Delta_Temperature,First_Temperature,Last_Temperature,Max_AtomicVolume,Max_CN,Max_CavityRadius,Max_Displacement,Max_Temperature,Mean_AtomicVolume,Mean_CN,Mean_CavityRadius,Mean_Displacement,Mean_Temperature,Median_AtomicVolume,Median_CN,Median_CavityRadius,Median_Displacement,Min_AtomicVolume,Min_CN,Min_CavityRadius,Min_Displacement,Min_Temperature,Std_AtomicVolume,Std_CN,Std_CavityRadius,Std_Displacement,Std_Temperature
7030,100,bed,32.03199999999998,301.761,333.793,4155.78,24.0,24.9564,0.0,333.793,33.35066778765852,12.41679554593257,3.5502530049489636,0.0,315.85707,11.2856,12.0,2.60762,0.0,2.27997,2.0,1.45739,0.0,297.292,127.20739452493034,3.18680230279997,2.99056523711719,0.0,9.592137447643335
7030,100,laser,40.43799999999999,332.805,373.243,6684.34,24.0,24.4472,0.0,375.724,33.35066469300959,12.680946489328797,3.4880823948345188,0.0,352.65841,10.759450000000001,13.0,2.4518649999999997,0.0,2.37906,1.0,1.4504,0.0,331.595,132.30893322724333,3.157598218756638,3.097520749499748,0.0,11.179432674523806
7030,100,hold,3.245999999999981,372.533,375.779,3243.43,24.0,25.6875,0.0,380.385,33.35066503866378,12.824775750077327,3.4346743813795237,0.0,373.84784875,10.57725,13.0,2.40778,0.0,2.39324,1.0,1.44894,0.0,367.961,131.5050723064954,3.1713002047679937,3.1294871512979707,0.0,2.0907942364200367
7030,100,cooling,-41.761000000000024,374.766,333.005,4786.78,25.0,25.6769,0.0,374.766,33.3506688308073,12.941231054747913,3.3970959109186514,0.0,353.41008,10.46575,13.0,2.37697,0.0,2.1015,1.0,1.42778,0.0,330.227,143.18997164611628,3.121880834192357,3.131259728977937,0.0,11.618073763690191
7030,150,equilibrium,70.612,230.104,300.716,3700.47,25.0,29.1805,0.0,305.527,33.350667074698414,13.265542839467987,3.4096942019795855,0.0,289.33693999999997,10.2583,13.0,2.3394000000000004,0.0,2.20527,3.0,1.41661,0.0,230.104,135.28221367111877,3.2764291073368015,3.444659576229947,0.0,20.391191594401686
7030,150,bed,32.03199999999998,301.761,333.793,4155.78,24.0,24.9564,0.0,333.793,33.35066778765852,12.41679554593257,3.5502530049489636,0.0,315.85707,11.2856,12.0,2.60762,0.0,2.27997,2.0,1.45739,0.0,297.292,127.20739452493034,3.18680230279997,2.99056523711719,0.0,9.592137447643335
7030,150,laser,86.06400000000002,332.805,418.869,6684.34,24.0,24.4472,0.0,420.58,33.35066469300959,12.680946489328797,3.4880823948345188,0.0,376.0483225,10.759450000000001,13.0,2.4518649999999997,0.0,2.37906,1.0,1.4504,0.0,331.678,132.30893322724333,3.157598218756638,3.097520749499748,0.0,25.919483798282272
7030,150,hold,-0.5310000000000059,421.415,420.884,2795.87,24.0,26.2356,0.0,429.951,33.35066431333128,12.716826476956387,3.45807337612125,0.0,423.38833124999996,10.7377,13.0,2.418225,0.0,2.51519,1.0,1.45347,0.0,416.545,128.25236014145466,3.1302137675407176,3.1617534741465505,0.0,2.509750498751004
7030,150,cooling,-86.149,423.036,336.887,7019.65,26.0,22.5519,0.0,424.002,33.35066383235385,12.819208165790288,3.3757530420661928,0.0,380.44014000000004,10.620049999999999,13.0,2.41413,0.0,2.55192,1.0,1.4408,0.0,335.474,155.20298112132573,3.187212830622827,2.9228875820061395,0.0,25.82751392108345
7030,200,equilibrium,70.612,230.104,300.716,3700.47,25.0,29.1805,0.0,305.527,33.350667074698414,13.265542839467987,3.4096942019795855,0.0,289.33693999999997,10.2583,13.0,2.3394000000000004,0.0,2.20527,3.0,1.41661,0.0,230.104,135.28221367111877,3.2764291073368015,3.444659576229947,0.0,20.391191594401686
